epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3287.11,0.68053,0.58282,1.11706,0.7806,0.8007,0.80466,0.6758,0.61043,0.53837,1.06706,0.00089141,0.00089141,0.00089141
59,3332.97,0.69522,0.60052,1.12878,0.80415,0.77584,0.80482,0.67515,0.60781,0.53411,1.05993,0.000881979,0.000881979,0.000881979
60,3378.78,0.6619,0.56982,1.10804,0.81977,0.77463,0.7999,0.67343,0.60117,0.5438,1.0427,0.000872547,0.000872547,0.000872547
61,3424.84,0.66801,0.57976,1.11768,0.76919,0.79227,0.79361,0.67187,0.60321,0.57062,1.05657,0.000863116,0.000863116,0.000863116
62,3471,0.68443,0.56841,1.12169,0.80003,0.78498,0.79415,0.67536,0.6023,0.55933,1.05321,0.000853685,0.000853685,0.000853685
63,3516.84,0.66753,0.56057,1.11492,0.78919,0.79128,0.78829,0.66256,0.61903,0.54463,1.07222,0.000844253,0.000844253,0.000844253
64,3562.7,0.67239,0.56994,1.1099,0.78421,0.80009,0.79787,0.67366,0.60453,0.54838,1.05278,0.000834822,0.000834822,0.000834822
65,3608.48,0.66949,0.56027,1.11603,0.79909,0.77926,0.80271,0.67968,0.59596,0.53117,1.04871,0.00082539,0.00082539,0.00082539
66,3654.27,0.68088,0.55796,1.12121,0.80314,0.77829,0.7934,0.67143,0.60646,0.54657,1.0602,0.000815959,0.000815959,0.000815959
67,3700.2,0.65986,0.54502,1.10438,0.79907,0.7843,0.80314,0.67684,0.60453,0.55764,1.05247,0.000806528,0.000806528,0.000806528
68,3745.64,0.65986,0.53878,1.10355,0.76133,0.79036,0.79191,0.67088,0.59745,0.54347,1.04992,0.000797096,0.000797096,0.000797096
69,3791.12,0.66182,0.54838,1.1094,0.78503,0.78766,0.78651,0.66551,0.60337,0.5351,1.053,0.000787665,0.000787665,0.000787665
70,3836.81,0.64359,0.52758,1.10067,0.77217,0.78983,0.79225,0.67098,0.59452,0.54179,1.05396,0.000778233,0.000778233,0.000778233
71,3882.41,0.65993,0.55016,1.11222,0.77302,0.79174,0.79368,0.67146,0.60923,0.52631,1.06275,0.000768802,0.000768802,0.000768802
72,3928.01,0.65785,0.538,1.09899,0.77604,0.79051,0.79282,0.67502,0.59306,0.53174,1.0504,0.000759371,0.000759371,0.000759371
73,3973.32,0.67205,0.54559,1.11527,0.80435,0.78976,0.80056,0.67573,0.60925,0.52255,1.06451,0.000749939,0.000749939,0.000749939
74,4018.83,0.6346,0.51972,1.08999,0.816,0.77192,0.79861,0.67647,0.59929,0.52664,1.05266,0.000740508,0.000740508,0.000740508
75,4064.21,0.66394,0.5269,1.1085,0.79832,0.79403,0.80339,0.67703,0.59684,0.5327,1.05631,0.000731076,0.000731076,0.000731076
76,4109.49,0.6471,0.52945,1.09554,0.7974,0.7989,0.80805,0.68046,0.59176,0.52211,1.04903,0.000721645,0.000721645,0.000721645
77,4155.05,0.64432,0.50858,1.09582,0.80026,0.79097,0.80252,0.67534,0.59708,0.53877,1.0523,0.000712214,0.000712214,0.000712214
78,4200.46,0.63875,0.51496,1.09521,0.80247,0.79212,0.80508,0.67875,0.60331,0.52617,1.05554,0.000702782,0.000702782,0.000702782
79,4246.37,0.63445,0.50098,1.08774,0.8202,0.77219,0.80851,0.68502,0.59325,0.5092,1.04469,0.000693351,0.000693351,0.000693351
80,4291.7,0.63188,0.5071,1.08505,0.80394,0.78204,0.80204,0.68109,0.58159,0.50609,1.04134,0.000683919,0.000683919,0.000683919
81,4337.28,0.62548,0.48943,1.08024,0.80828,0.7916,0.80369,0.67757,0.59369,0.51461,1.05153,0.000674488,0.000674488,0.000674488
82,4382.8,0.62293,0.48489,1.07677,0.78727,0.78373,0.79569,0.67433,0.59693,0.52914,1.06174,0.000665057,0.000665057,0.000665057
83,4428.53,0.63773,0.50745,1.09387,0.79125,0.79273,0.80036,0.67952,0.58142,0.52394,1.04444,0.000655625,0.000655625,0.000655625
84,4474.88,0.61498,0.48172,1.07808,0.79658,0.80252,0.80519,0.68559,0.58693,0.51818,1.05415,0.000646194,0.000646194,0.000646194
85,4521.12,0.62099,0.48065,1.07957,0.8079,0.78373,0.80179,0.6805,0.57668,0.51413,1.04334,0.000636762,0.000636762,0.000636762
86,4568.24,0.62367,0.48308,1.08138,0.81172,0.80051,0.81163,0.68352,0.5822,0.49475,1.04413,0.000627331,0.000627331,0.000627331
87,4614.72,0.6113,0.48028,1.07358,0.82815,0.78815,0.80965,0.68622,0.57762,0.50713,1.03876,0.0006179,0.0006179,0.0006179
88,4660.82,0.61544,0.48326,1.07756,0.82321,0.78377,0.80713,0.68477,0.58873,0.50728,1.05009,0.000608468,0.000608468,0.000608468
89,4706.72,0.60058,0.4754,1.07086,0.80963,0.80252,0.8086,0.68357,0.57761,0.50829,1.04702,0.000599037,0.000599037,0.000599037
90,4751.62,0.59393,0.47033,1.06722,0.8232,0.80292,0.80901,0.68867,0.57642,0.5016,1.0466,0.000589605,0.000589605,0.000589605
91,4796.26,0.62595,0.49511,1.08985,0.81453,0.80534,0.81028,0.68482,0.57981,0.49795,1.04263,0.000580174,0.000580174,0.000580174
92,4840.96,0.59779,0.46292,1.06975,0.81306,0.7985,0.80854,0.68681,0.5829,0.50428,1.0483,0.000570743,0.000570743,0.000570743
93,4885.74,0.61971,0.48048,1.08005,0.80717,0.78323,0.79671,0.67971,0.5816,0.51188,1.04991,0.000561311,0.000561311,0.000561311
94,4930.37,0.59628,0.45671,1.06685,0.78613,0.80614,0.79647,0.67473,0.58922,0.51225,1.05304,0.00055188,0.00055188,0.00055188
95,4975.39,0.60239,0.46074,1.07123,0.80124,0.79661,0.80375,0.68354,0.58842,0.51501,1.05442,0.000542448,0.000542448,0.000542448
96,5020.28,0.60108,0.46047,1.06779,0.8192,0.79353,0.80678,0.6864,0.57696,0.50534,1.04638,0.000533017,0.000533017,0.000533017
97,5065.06,0.59677,0.45795,1.06594,0.79403,0.80777,0.80474,0.68569,0.57534,0.49842,1.04552,0.000523586,0.000523586,0.000523586
