epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,6858.61,0.61321,0.48048,1.05105,0.9374,0.90788,0.94762,0.85667,0.47533,0.37501,0.92684,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,6983.46,0.61605,0.47539,1.05295,0.94836,0.91921,0.94949,0.86111,0.47618,0.36499,0.93167,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,7108.08,0.60883,0.47797,1.04713,0.9542,0.90332,0.94446,0.85947,0.46921,0.37612,0.93119,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,7232.87,0.61097,0.46965,1.04559,0.94671,0.90898,0.94745,0.8633,0.47024,0.36535,0.9233,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,7357.91,0.60392,0.46183,1.04382,0.94654,0.91677,0.94771,0.86264,0.47168,0.35713,0.92203,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,7482.55,0.60301,0.4618,1.04313,0.9365,0.93185,0.95049,0.86725,0.46028,0.34498,0.91125,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,7607.47,0.60763,0.45918,1.04516,0.94271,0.92104,0.95164,0.86523,0.46257,0.34544,0.91635,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,7732.18,0.59752,0.46267,1.0428,0.94323,0.91759,0.94637,0.86112,0.46519,0.34679,0.91916,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,7857.12,0.5956,0.45426,1.04157,0.93532,0.91932,0.94971,0.8632,0.46521,0.34299,0.92032,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,7981.65,0.59639,0.45388,1.04135,0.92807,0.92644,0.94863,0.86395,0.46454,0.34415,0.92334,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
